"場所\ﾀｽｸ名"	"状態"	"説明"	"ﾀｽｸの実行時に使うﾕｰｻﾞｰ ｱｶｳﾝﾄ"	"(実行種別)"	"最上位の特権で実行する"	"表示しない"	"構成"	"ﾀｽｸの開始"	"遅延時間を指定する"	"遅延時間"	"繰り返し間隔"	"繰り返し間隔"	"継続時間"	"繰り返し継続時間の最後に実行中のすべてのﾀｽｸを停止する"	"停止するまでの時間"	"停止するまでの時間"	"開始/ｱｸﾃｨﾌﾞ化"	"開始/ｱｸﾃｨﾌﾞ化"	"有効期限"	"有効期限"	"有効"	"操作"	"次の間ｱｲﾄﾞﾙ状態の場合のみﾀｽｸを開始する"	"時間"	"ｱｲﾄﾞﾙ状態になるのを待機する時間"	"ｺﾝﾋﾟｭｰﾀがｱｲﾄﾞﾙ状態でなくなった場合は停止する"	"再びｱｲﾄﾞﾙ状態になったら再開する"	"ｺﾝﾋﾟｭｰﾀをAC電源で使用している場合のみﾀｽｸを開始する"	"ｺﾝﾋﾟｭｰﾀの電源をﾊﾞｯﾃﾘに切り替える場合は停止する"	"ﾀｽｸを実行するためにｽﾘｰﾌﾟを解除する"	"次のﾈｯﾄﾜｰｸ接続が使用可能な場合のみﾀｽｸを開始する"	"ﾈｯﾄﾜｰｸ接続"	"ﾀｽｸを要求時に実行する"	"ｽｹｼﾞｭｰﾙされた時刻にﾀｽｸを開始できなかった場合、すぐにﾀｽｸを実行する"	"ﾀｽｸが失敗した場合の再起動の間隔"	"間隔"	"再起動試行の最大数"	"ﾀｽｸを停止するまでの時間"	"時間"	"要求時に実行中のﾀｽｸが終了しない場合、ﾀｽｸを強制的に停止する"	"ﾀｽｸの再実行がｽｹｼﾞｭｰﾙされていない場合に削除されるまでの時間"	"時間"	"ﾀｽｸが既に実行中の場合に適用される規則"
"\Microsoft\Windows\MUI\LPRemove"	"有効"	"言語クリーンアップ ツールの起動"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\lpremove.exe"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"9時間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Multimedia\SystemSoundsService"	"有効"	"システム サウンド ユーザー モード エージェント"	"BUILTIN\Users"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{2DEA658F-54C1-4227-AF9B-260AB5FC3543}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\NetTrace\GatherNetworkInfo"	"有効"	"ネットワーク情報コレクター"	"BUILTIN\Users"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\gatherNetworkInfo.vbs 開始:$(Arg1)"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\NlaSvc\WiFiTask"	"有効"	"ユーザーと Web の対話ごとに実行されるバックグラウンド タスク"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7518BCA323028741"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\System32\WiFiTask.exe 引数の追加:nla"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"□"	"□"	""	""	"レ"	"10分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\PI\Secure-Boot-Update"	"有効"	"このタスクでは、セキュア ブートの変数が更新されます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA33E0C9541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{5014B7C8-934E-4262-9816-887FA745A6C4} Data:SBServicing"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"1時間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\PI\Sqm-Tasks"	"有効"	"このタスクは、トラステッド プラットフォーム モジュール (TPM)、セキュア ブート、メジャー ブートに関する情報を収集します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{5014B7C8-934E-4262-9816-887FA745A6C4} Data:PiSqmTasks"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Plug and Play\Device Install Group Policy"	"有効"	"デバイス インストール グループ ポリシー変更ハンドラー"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA32A1E890D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{60400283-B242-4FA8-8C25-CAF695B88209}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"1日間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\Plug and Play\Device Install Reboot Required"	"有効"	"デバイスの設定を完了するために Windows を再起動する必要があることを、ユーザーに通知します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA33D009602"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{48794782-6A1F-47B9-BD52-1D5F95D49C1B}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"□"	"□"	""	""	"レ"	"3日間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Plug and Play\Sysprep Generalize Drivers"	"有効"	"どのようなハードウェア構成でも起動可能にするようにシステムを準備するため、ドライバーの状態を汎用化します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\System32\drvinst.exe 引数の追加:6"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem"	"有効"	"このタスクでは、システムを分析し、大量のエネルギー消費の原因になる可能性のある状況を探します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{927EA2AF-1C54-43D5-825E-0074CE028EEE}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"5分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Ras\MobilityManager"	"有効"	"基礎となるインターフェイスがダウンした場合、モビリティが有効化された VPN 接続の切り替えのサポートを提供します。"	"NT AUTHORITY\LOCAL SERVICE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList>              <Query                  Id=""0""                  Path=""Application""                  >                <Select Path=""Application"">*[System[Provider[@Name='RasClient'] and (Level=4 or Level=0) and (EventID=20281)]]</Select>              </Query>            </QueryList>"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{C463A0FC-794F-4FDF-9201-01938CEACAFA}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\RecoveryEnvironment\VerifyWinRE"	"有効"	"Windows 回復環境を検証します。"	"BUILTIN\Administrators"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{89D1D0C2-A3CF-490C-ABE3-B86CDE34B047} Data:VerifyWinRE"	"レ"	"10分間"	"1時間"	"□"	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"1時間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Registry\RegIdleBackup"	"有効"	"レジストリ アイドル バックアップ タスク"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{CA767AA8-9157-4604-B64B-40747123D5F2}"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask"	"有効"	"グループ ポリシーに、リモート アシスタンスに関連する変更があるかどうかを確認します"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList><Query Id=""0"" Path=""System""><Select Path=""System"">*[System[Provider[@Name='Microsoft-Windows-GroupPolicy'] and EventID=1502]]</Select></Query></QueryList>"	"レ"	"15秒間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\RAServer.exe 引数の追加:/offerraupdate 開始:%windir%"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾀｽｸの作成/変更時 設定:(なし)"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\RetailDemo\CleanupOfflineContent"	"有効"	"RetailDemo オフライン コンテンツの自動クリーンアップ"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"レ"	"Windows 7, Windows Server 2008 R2"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:毎日 間隔(日):1"	"□"	""	"□"	""	""	""	"□"	""	"レ"	"2017-07-22 19:01:18"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{61F77D5E-AFE9-400B-A5E6-E9E80FC8E601}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"レ"	"□"	""	""	"レ"	"3日間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Servicing\StartComponentCleanup"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{752073A1-23F2-4396-85F0-8FDB879ED0ED}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"1時間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\SettingSync\BackgroundUploadTask"	"有効"	""	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{59B9640B-3F70-4D1C-B159-F26EEB8A4C87}"	"レ"	"10分間"	"3時間"	"レ"	"□"	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\SettingSync\BackupTask"	"有効"	""	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{60A4C78C-E2B8-4E6E-876F-DA203B02C05E}"	"レ"	"10分間"	"3時間"	"レ"	"□"	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\SettingSync\NetworkStateChangeTask"	"有効"	""	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA33E0B8441"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{A4173A49-F373-4475-9A0F-2D615204DC20}"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"□"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7510BCA33E0B8441"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Setup\SetupCleanupTask"	"有効"	"インストールしてから数日後に以前の Windows インストールのファイルを削除します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"□"	""	"レ"	"5日間"	"無期限"	"□"	"□"	""	"レ"	"2004-01-02 06:00:00"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{7C83C056-1D0D-4C8E-A6B0-89E79C213559}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\SharedPC\Account Cleanup"	"無効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\System32\rundll32.exe 引数の追加:%windir%\System32\Windows.SharedPC.AccountManager.dll,StartMaintenance"	"レ"	"10分間"	"1時間"	"レ"	"□"	"レ"	"レ"	"レ"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"30分間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Shell\CreateObjectTask"	"有効"	"システム データにアクセスするシェル コンポーネントをサポートします"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{990A9F8F-301F-45F7-8D0E-68C5952DBA43}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"30秒間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Shell\FamilySafetyMonitor"	"有効"	"ファミリー セーフティの監視と強制を初期化します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\System32\wpcmon.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"10分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\Shell\FamilySafetyMonitorToastTask"	"無効"	"Microsoft ファミリ機能のサービスによって最新の設定を同期します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA33E068A41"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{D2CBF5F7-5702-440B-8D8F-8203034A6B82} Data:$(Arg0)"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"□"	"□"	""	""	"レ"	"10分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Shell\FamilySafetyRefreshTask"	"有効"	"Microsoft ファミリ機能のサービスによって最新の設定を同期します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA33A089541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{C844C79D-AED8-4DCE-AB25-4D359BED84F8} Data:$(Arg0)"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"□"	"□"	""	""	"レ"	"10分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Shell\IndexerAutomaticMaintenance"	"有効"	"検索インデックスを最新の状態に保ちます"	"NT AUTHORITY\LOCAL SERVICE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{3FBA60A6-7BF5-4868-A2CA-6623B3DFFEA6}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask"	"有効"	"このタスクは、ソフトウェア保護プラットフォーム サービスを指定された時間に再開します"	"NT AUTHORITY\NETWORK SERVICE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:毎日 間隔(日):1"	"□"	""	"□"	""	""	""	"□"	""	"レ"	"2017-07-17 01:23:37+09:00"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC} Data:timer"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"レ"	"1分間"	"3"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskLogon"	"有効"	"このタスクは、ソフトウェア保護プラットフォーム サービスをユーザー ログオンの発生時に再開します"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC} Data:logon"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"レ"	"1分間"	"3"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskNetwork"	"有効"	"このタスクは、ソフトウェア保護プラットフォーム サービスを新しいネットワークの検出時に再開します"	"NT AUTHORITY\NETWORK SERVICE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList><Query Id=""0"" Path=""Microsoft-Windows-NetworkProfile/Operational""><Select Path=""Microsoft-Windows-NetworkProfile/Operational"">*[System[EventID=10000]]</Select></Query></QueryList>"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC} Data:network"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"レ"	"1分間"	"3"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\SpacePort\SpaceAgentTask"	"有効"	"記憶域スペースの設定"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"レ"	"2分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\SpaceAgent.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"6時間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
