"場所\ﾀｽｸ名"	"状態"	"説明"	"ﾀｽｸの実行時に使うﾕｰｻﾞｰ ｱｶｳﾝﾄ"	"(実行種別)"	"最上位の特権で実行する"	"表示しない"	"構成"	"ﾀｽｸの開始"	"遅延時間を指定する"	"遅延時間"	"繰り返し間隔"	"繰り返し間隔"	"継続時間"	"繰り返し継続時間の最後に実行中のすべてのﾀｽｸを停止する"	"停止するまでの時間"	"停止するまでの時間"	"開始/ｱｸﾃｨﾌﾞ化"	"開始/ｱｸﾃｨﾌﾞ化"	"有効期限"	"有効期限"	"有効"	"操作"	"次の間ｱｲﾄﾞﾙ状態の場合のみﾀｽｸを開始する"	"時間"	"ｱｲﾄﾞﾙ状態になるのを待機する時間"	"ｺﾝﾋﾟｭｰﾀがｱｲﾄﾞﾙ状態でなくなった場合は停止する"	"再びｱｲﾄﾞﾙ状態になったら再開する"	"ｺﾝﾋﾟｭｰﾀをAC電源で使用している場合のみﾀｽｸを開始する"	"ｺﾝﾋﾟｭｰﾀの電源をﾊﾞｯﾃﾘに切り替える場合は停止する"	"ﾀｽｸを実行するためにｽﾘｰﾌﾟを解除する"	"次のﾈｯﾄﾜｰｸ接続が使用可能な場合のみﾀｽｸを開始する"	"ﾈｯﾄﾜｰｸ接続"	"ﾀｽｸを要求時に実行する"	"ｽｹｼﾞｭｰﾙされた時刻にﾀｽｸを開始できなかった場合、すぐにﾀｽｸを実行する"	"ﾀｽｸが失敗した場合の再起動の間隔"	"間隔"	"再起動試行の最大数"	"ﾀｽｸを停止するまでの時間"	"時間"	"要求時に実行中のﾀｽｸが終了しない場合、ﾀｽｸを強制的に停止する"	"ﾀｽｸの再実行がｽｹｼﾞｭｰﾙされていない場合に削除されるまでの時間"	"時間"	"ﾀｽｸが既に実行中の場合に適用される規則"
"\Microsoft\Windows\UpdateOrchestrator\USO_UxBroker_ReadyToReboot"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7520BCA3381D8941"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%systemroot%\system32\MusNotification.exe 引数の追加:ReadyToReboot"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\UPnP\UPnPHostConfig"	"有効"	"UPnPHost サービスを自動開始に設定"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:sc.exe 引数の追加:config upnphost start= auto"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\User Profile Service\HiveUploadTask"	"無効"	"このタスクでは、移動ユーザー プロファイルのレジストリ ハイブがネットワークの場所に自動的にアップロードされます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"1時間"	"レ"	"12時間"	"無期限"	"□"	"□"	""	"レ"	"2007-08-28 00:00:00"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{BA677074-762C-444B-94C8-8C83F93F6605}"	"レ"	"10分間"	"2時間"	"□"	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"2分間"	"3"	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\WCM\WiFiTask"	"有効"	"ユーザーと Web の対話ごとに実行されるバックグラウンド タスク"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7578BCA33A078008"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\System32\WiFiTask.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"□"	"□"	""	""	"レ"	"10分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\WDI\ResolutionHost"	"有効"	"Windows 診断インフラストラクチャ解決のホストは、診断ポリシー サービスによって検出されたシステムの問題を対話的に解決できるようにします。Windows 診断インフラストラクチャ解決のホストは、必要に応じて適切なユーザー セッションで、診断ポリシー サービスによってトリガーされます。診断ポリシー サービスが実行中でない場合、タスクは実行されません"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{900BE39D-6BE8-461A-BC4D-B0FA71F5ECB1}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance"	"有効"	"定期的なメンテナンス タスクです。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:C:\Program Files\Windows Defender\MpCmdRun.exe 引数の追加:-IdleTask -TaskName WdCacheMaintenance"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Windows Defender\Windows Defender Cleanup"	"有効"	"定期的なクリーンアップ タスクです。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:C:\Program Files\Windows Defender\MpCmdRun.exe 引数の追加:-IdleTask -TaskName WdCleanup"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan"	"有効"	"定期的なスキャン タスクです。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:C:\Program Files\Windows Defender\MpCmdRun.exe 引数の追加:Scan -ScheduleJob -ScanTrigger 55"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Windows Defender\Windows Defender Verification"	"有効"	"定期的な検証タスクです。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:C:\Program Files\Windows Defender\MpCmdRun.exe 引数の追加:-IdleTask -TaskName WdVerification"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Windows Error Reporting\QueueReporting"	"有効"	"キューに登録されたレポートは、Windows エラー報告タスクにより処理されます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"レ"	"3分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\wermgr.exe 引数の追加:-upload"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"□"	""	""	"レ"	"4時間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7510BCA33A0B9441"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"4時間"	"レ"	"4時間"	"無期限"	"□"	"□"	""	"レ"	"2015-01-01 09:00:00+09:00"	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange"	"有効"	"ベース フィルター エンジン (BFE) の開始の種類が無効にされると、このタスクでファイアウォールトリガー サービスの開始の種類が調整されます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList><Query Id=""0"" Path=""System""><Select Path=""System"">*/System/Provider[@Name='Service Control Manager'] and */System/EventID='7040' and */EventData/Data[@Name='param4']='BFE'</Select></Query></QueryList>"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\rundll32.exe 引数の追加:bfe.dll,BfeOnServiceStartTypeChange"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"□"	"□"	""	""	"レ"	"3日間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\Windows\Windows Media Sharing\UpdateLibrary"	"有効"	"このタスクによって、キャッシュされたフォルダーの一覧、およびユーザーの共有メディア ライブラリに含まれる新しいファイルに対するセキュリティ アクセス許可が更新されます。"	"NT AUTHORITY\Authenticated Users"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList>              <Query                  Id=""0""                  Path=""System""                  >                <Select Path=""System"">*[System[Provider[@Name='Microsoft-Windows-WMPNSS-Service'] and (EventID=14210)]]</Select>              </Query>            </QueryList>"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:""%ProgramFiles%\Windows Media Player\wmpnscfg.exe"""	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\WindowsColorSystem\Calibration Loader"	"無効"	"このタスクは色調整の設定を適用します。"	"BUILTIN\Users"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{B210D694-C8DF-490D-9576-9E20CDBC20BD}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾕｰｻﾞｰ ｾｯｼｮﾝへの接続時 設定:任意のﾕｰｻﾞｰ ～からの接続:ﾛｰｶﾙ ｺﾝﾋﾟｭｰﾀ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\WindowsUpdate\Automatic App Update"	"有効"	"ユーザーの Windows ストア アプリケーションを自動的に更新します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"4時間"	"レ"	"4時間"	"無期限"	"□"	"□"	""	"レ"	"2014-01-01 09:00:00+09:00"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{A6BA00FE-40E8-477C-B713-C64A14F18ADB}"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"□"	""	""	"レ"	"4時間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"レ"	"5分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\WindowsUpdate\Scheduled Start"	"有効"	"このタスクは、スキャンなどのスケジュールした操作を実行する必要がある場合に、Windows Update サービスを開始するために使用されます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"1分間"	"□"	""	""	""	"□"	""	"レ"	"2017-07-16 19:01:05+09:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:C:\Windows\system32\sc.exe 引数の追加:start wuauserv"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾕｰｻﾞｰ ｾｯｼｮﾝからの切断時 設定:任意のﾕｰｻﾞｰ ～からの接続:ﾛｰｶﾙ ｺﾝﾋﾟｭｰﾀ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾕｰｻﾞｰ ｾｯｼｮﾝからの切断時 設定:任意のﾕｰｻﾞｰ ～からの接続:ﾘﾓｰﾄ ｺﾝﾋﾟｭｰﾀ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA3380C960C"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\WindowsUpdate\sih"	"有効"	"この毎日のタスクは、コンピューターにインストールされている Windows や Microsoft ソフトウェアの自動更新に不可欠なシステム コンポーネントを検出して修正するために、SIH クライアント (サーバーで開始された復旧) を起動します。このタスクは、オンライン接続、復旧操作の適用性の評価、アクションを実行するために必要なペイロードのダウンロードを行い、復旧操作を実行できます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"4時間"	"レ"	"20時間"	"無期限"	"□"	"□"	""	"レ"	"2014-01-01 09:00:00+09:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%systemroot%\System32\sihclient.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\WindowsUpdate\sihboot"	"有効"	"このブート タスクは、コンピューターにインストールされている Windows や Microsoft ソフトウェアの自動更新に不可欠なシステム コンポーネントを修正するために、SIH クライアントを起動して復旧操作の実行を完了します。このタスクは、適用可能な復旧操作の実行を毎日の SIH クライアント タスクで完了できなかった場合にのみ有効になります。このブート タスクがオンラインになることはなく、復旧操作の適用性は評価されません。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%systemroot%\System32\sihclient.exe 引数の追加:/boot"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"2分間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Wininet\CacheTask"	"有効"	"Wininet キャッシュ タスク"	"BUILTIN\Users"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{0358B920-0AC7-461F-98F4-58E32CD89148}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\WOF\WIM-Hash-Management"	"有効"	"このタスクは、OS に代わってバックグラウンド操作を実行することで、WIM ブートをサポートします。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7518BCA32B188341"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{B7BFFB5A-EFA8-4D8C-BBDE-C8D5FAAF54A1} Data:WimHashManagement"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7528BCA32B188341"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\WOF\WIM-Hash-Validation"	"有効"	"このタスクは、OS に代わってバックグラウンド操作を実行することで、WIM ブートをサポートします。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{B7BFFB5A-EFA8-4D8C-BBDE-C8D5FAAF54A1} Data:WimHashValidation"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Work Folders\Work Folders Logon Synchronization"	"有効"	"このタスクは、ユーザーがシステムにログオンするときにワーク フォルダー パートナーシップの同期を開始します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"レ"	"5分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{97D47D56-3777-49FB-8E8F-90D7E30E1A1E} Data:Logon"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"1日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Work Folders\Work Folders Maintenance Work"	"有効"	"このタスクは、ワーク フォルダー パートナーシップのデータ同期のパフォーマンスを良好な状態に維持するために必要なメンテナンス作業を開始します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"レ"	"30分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{63260BCE-A3FB-4A34-AA51-D4D8E877B62B}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"1日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Workplace Join\Automatic-Device-Join"	"無効"	"コンピューターが既に Active Directory ドメインに参加している場合に、このコンピューターを登録します。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"レ"	"1分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\System32\dsregcmd.exe"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"□"	"□"	""	""	"レ"	"5分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList><Query Id=""0"" Path=""Microsoft-Windows-User Device Registration/Admin""><Select Path=""Microsoft-Windows-User Device Registration/Admin"">*[System[Provider[@Name='Microsoft-Windows-User Device Registration'] and EventID=4096]]</Select></Query></QueryList>"	"□"	""	"レ"	"1時間"	"1日間"	"□"	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\WwanSvc\NotificationTask"	"有効"	"ユーザーと Web の対話ごとに実行されるバックグラウンド タスク"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7520BCA33A19870F"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\System32\WiFiTask.exe 引数の追加:wwan"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"□"	"□"	"□"	""	""	"レ"	"10分間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽをｷｭｰに追加"
"\Microsoft\XblGameSave\XblGameSaveTask"	"有効"	"XblGameSave Standby Task"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｱｲﾄﾞﾙ時 設定:(なし)"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\System32\XblGameSaveTask.exe 引数の追加:standby"	"レ"	"10分間"	"1時間"	"レ"	"□"	"レ"	"□"	"□"	"レ"	"任意の接続"	"レ"	"□"	"□"	""	""	"レ"	"2時間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
